* Project:       hupsel
* File content:  specified output data of SWAP
* File name:     hupselbrook/rswap/result_output.csv
* Model version: Swap 4.2.0
* Generated at:  2023-04-21 10:03:40
* (d),(cm),(cm),(cm),(cm),(cm3/cm3),(cm3/cm3),(cm3/cm3),(deg C),(deg C),(deg C)
DATETIME,RAIN,H[-15],H[-40],H[-70],WC[-15],WC[-40],WC[-70],TEMP[-15],TEMP[-40],TEMP[-70]
2002-01-31,4.26000,-50.05451,-28.62878,-1.97650,.30860,.32759,.37964,8.58084,8.17183,7.49606
2002-02-28,12.29000,-36.80254,-15.98492,10.39947,.33507,.36033,.38000,5.28129,5.95159,6.18241
2002-03-31,3.56000,-66.90206,-39.89307,-12.44641,.28152,.29576,.36753,9.55597,7.39378,6.34536
2002-04-30,4.21000,-50.43449,-32.75125,-6.31816,.30791,.31589,.37654,10.14731,9.29456,8.67581
2002-05-31,5.29000,-67.51400,-40.17980,-12.70832,.28066,.29497,.36704,12.44824,12.63194,12.46814
2002-06-30,4.89000,-104.92458,-66.29400,-34.95250,.23877,.23210,.30963,14.73054,14.42446,14.45666
2002-07-31,14.19000,-15.07985,-91.99537,-55.39156,.38890,.18905,.25587,22.01726,20.32886,18.58546
2002-08-31,6.18000,-135.58860,-93.23635,-58.72628,.21543,.18736,.24821,16.13502,17.39562,18.00810
2002-09-30,4.05000,-151.00546,-121.24718,-83.74900,.20603,.15601,.20112,12.18104,13.09604,13.98954
2002-10-31,9.18000,-76.90440,-70.48297,-62.05319,.26822,.22391,.24091,6.99640,8.95938,10.28812
2002-11-30,7.38000,-76.03689,-55.87232,-29.52471,.26930,.25474,.32506,6.29661,7.31677,7.94312
2002-12-31,8.70000,-25.50254,-4.47027,21.70480,.36176,.37823,.38000,.90769,4.01984,5.20333
2003-01-31,8.27000,-40.68051,-19.68135,6.75717,.32679,.35163,.38000,-4.10308,.19345,2.44636
2003-02-28,2.96000,-68.43461,-41.74229,-14.18107,.27937,.29068,.36415,7.69060,4.88293,3.04376
2003-03-31,2.73000,-71.13482,-43.75696,-16.05886,.27567,.28522,.36016,6.35361,6.82097,6.55688
2003-04-30,5.48000,-41.86152,-29.46179,-3.20854,.32436,.32524,.37907,11.37568,10.84434,9.98160
2003-05-31,11.51000,-52.86696,-29.08031,-2.34887,.30361,.32631,.37949,18.62354,15.99154,13.85441
2003-06-30,4.43000,-115.20091,-64.71123,-32.25312,.23012,.23533,.31731,15.85502,15.82594,15.70743
2003-07-31,9.64000,-110.09363,-76.51130,-45.16374,.23430,.21299,.28147,18.40259,17.93818,17.65937
2003-08-31,2.36000,-230.13110,-150.15969,-77.44002,.17209,.13357,.21140,14.14022,15.76409,16.94119
2003-09-30,5.67000,-119.82519,-108.56391,-82.05213,.22653,.16873,.20379,10.89560,12.44405,13.82049
2003-10-31,6.82000,-100.31979,-85.79173,-60.83310,.24296,.19799,.24355,7.51360,7.34638,7.77107
2003-11-30,3.74000,-92.46052,-72.28472,-46.76117,.25066,.22055,.27727,6.60233,6.98619,7.62324
2003-12-31,8.37000,-51.98494,-29.98625,-3.30966,.30515,.32375,.37901,1.68698,3.51707,4.63625
2004-01-31,10.39000,-38.96659,-28.52301,-2.32641,.33039,.32789,.37950,5.20848,3.17698,2.61115
2004-02-29,6.88000,-60.80230,-35.90171,-8.84946,.29058,.30694,.37342,-.06728,.96011,1.95363
2004-03-31,3.07000,-75.92741,-42.68424,-14.64261,.26944,.28811,.36320,7.94748,6.35750,5.28320
2004-04-30,4.59000,-98.57621,-56.92414,-28.01677,.24461,.25231,.32931,14.96269,12.14709,10.08699
2004-05-31,6.82000,-58.73539,-70.47171,-37.93186,.29383,.22394,.30123,13.07094,12.32062,11.28746
2004-06-30,4.18000,-138.53070,-81.59616,-48.37330,.21354,.20452,.27311,17.00170,15.04542,13.95258
2004-07-31,10.12000,-121.05082,-71.50693,-40.12663,.22560,.22199,.29512,18.99879,17.59592,16.48577
2004-08-31,12.44000,-54.20832,-53.30199,-28.36721,.30130,.26085,.32833,14.69567,15.73307,16.48621
2004-09-30,6.23000,-70.67317,-49.30328,-22.41090,.27630,.27074,.34464,12.30341,13.53829,14.48024
2004-10-31,3.31000,-71.03692,-49.95388,-23.32364,.27581,.26910,.34222,8.62484,10.56663,11.73002
2004-11-30,7.46000,-50.56562,-28.55908,-1.92449,.30767,.32779,.37966,4.96840,6.22300,6.94176
2004-12-31,5.06000,-48.79569,-28.16248,-1.57067,.31090,.32890,.37977,6.70366,4.62833,3.74612
