* Project:       hupsel
* File content:  specified output data of SWAP
* File name:     hupselbrook/rswap/result_output_tz.csv
* Model version: Swap 4.2.0
* Generated at:  2023-04-21 10:03:40
*,(cm),(cm),(cm3/cm3),(g/cm3 w)
DATE,DEPTH,H,WC,CONC
2002-01-31,-.500,-5.84187E+01, 2.94339E-01, 2.81952E+01
2002-01-31,-1.500,-5.77861E+01, 2.95358E-01, 3.21195E+01
2002-01-31,-2.500,-5.71407E+01, 2.96407E-01, 3.51271E+01
2002-01-31,-3.500,-5.64827E+01, 2.97487E-01, 3.80013E+01
2002-01-31,-4.500,-5.58122E+01, 2.98598E-01, 4.12671E+01
2002-01-31,-5.500,-5.51297E+01, 2.99740E-01, 4.49373E+01
2002-01-31,-6.500,-5.44355E+01, 3.00913E-01, 4.87554E+01
2002-01-31,-7.500,-5.37299E+01, 3.02117E-01, 5.24614E+01
2002-01-31,-8.500,-5.30135E+01, 3.03353E-01, 5.58780E+01
2002-01-31,-9.500,-5.22867E+01, 3.04620E-01, 5.88881E+01
2002-01-31,-12.500,-5.00545E+01, 3.08596E-01, 6.64577E+01
2002-01-31,-17.500,-4.61567E+01, 3.15860E-01, 6.27702E+01
2002-01-31,-22.500,-4.21129E+01, 3.23847E-01, 4.75054E+01
2002-01-31,-27.500,-3.79704E+01, 3.32528E-01, 2.94412E+01
2002-01-31,-32.500,-3.33708E+01, 3.14128E-01, 1.54994E+01
2002-01-31,-37.500,-2.86288E+01, 3.27589E-01, 6.84125E+00
2002-01-31,-42.500,-2.38518E+01, 3.40801E-01, 2.53119E+00
2002-01-31,-47.500,-1.90413E+01, 3.53209E-01, 7.89545E-01
2002-01-31,-52.500,-1.41994E+01, 3.64116E-01, 2.09292E-01
2002-01-31,-57.500,-9.32935E+00, 3.72730E-01, 4.82003E-02
2002-01-31,-65.000,-1.97650E+00, 3.79637E-01, 4.84097E-03
2002-01-31,-75.000, 7.86643E+00, 3.80000E-01, 2.96889E-04
2002-01-31,-85.000, 1.77283E+01, 3.80000E-01, 1.40465E-05
2002-01-31,-95.000, 2.76017E+01, 3.80000E-01, 5.26135E-07
2002-01-31,-105.000, 3.74866E+01, 3.80000E-01, 1.58430E-08
2002-01-31,-115.000, 4.73830E+01, 3.80000E-01, 3.86572E-10
2002-01-31,-125.000, 5.72909E+01, 3.80000E-01, 7.63750E-12
2002-01-31,-135.000, 6.72104E+01, 3.80000E-01, 8.94507E-14
2002-01-31,-145.000, 7.71413E+01, 3.80000E-01, 0.00000E+00
2002-01-31,-155.000, 8.70837E+01, 3.80000E-01, 0.00000E+00
2002-01-31,-165.000, 9.70377E+01, 3.80000E-01, 0.00000E+00
2002-01-31,-175.000, 1.07003E+02, 3.80000E-01, 0.00000E+00
2002-01-31,-185.000, 1.16980E+02, 3.80000E-01, 0.00000E+00
2002-01-31,-195.000, 1.26969E+02, 3.80000E-01, 0.00000E+00
2002-02-28,-.500,-4.71611E+01, 3.13948E-01, 1.52173E+00
2002-02-28,-1.500,-4.62282E+01, 3.15723E-01, 1.81414E+00
2002-02-28,-2.500,-4.53119E+01, 3.17489E-01, 2.13370E+00
2002-02-28,-3.500,-4.44112E+01, 3.19249E-01, 2.48431E+00
2002-02-28,-4.500,-4.35251E+01, 3.21004E-01, 2.86836E+00
2002-02-28,-5.500,-4.26526E+01, 3.22753E-01, 3.28779E+00
2002-02-28,-6.500,-4.17927E+01, 3.24499E-01, 3.74433E+00
2002-02-28,-7.500,-4.09444E+01, 3.26243E-01, 4.23934E+00
2002-02-28,-8.500,-4.01069E+01, 3.27986E-01, 4.77377E+00
2002-02-28,-9.500,-3.92792E+01, 3.29729E-01, 5.34795E+00
2002-02-28,-12.500,-3.68025E+01, 3.35069E-01, 7.18830E+00
2002-02-28,-17.500,-3.28654E+01, 3.43942E-01, 1.13608E+01
2002-02-28,-22.500,-2.89999E+01, 3.53107E-01, 1.63962E+01
2002-02-28,-27.500,-2.51318E+01, 3.62696E-01, 2.17170E+01
2002-02-28,-32.500,-2.06530E+01, 3.49191E-01, 2.63543E+01
2002-02-28,-37.500,-1.59849E+01, 3.60325E-01, 2.96318E+01
2002-02-28,-42.500,-1.12693E+01, 3.69631E-01, 3.07784E+01
2002-02-28,-47.500,-6.50689E+00, 3.76344E-01, 2.94980E+01
2002-02-28,-52.500,-1.70106E+00, 3.79729E-01, 2.61267E+01
2002-02-28,-57.500, 3.13181E+00, 3.80000E-01, 2.13814E+01
2002-02-28,-65.000, 1.03995E+01, 3.80000E-01, 1.32711E+01
2002-02-28,-75.000, 2.01118E+01, 3.80000E-01, 5.65800E+00
2002-02-28,-85.000, 2.98463E+01, 3.80000E-01, 1.90919E+00
2002-02-28,-95.000, 3.96029E+01, 3.80000E-01, 5.15926E-01
2002-02-28,-105.000, 4.93816E+01, 3.80000E-01, 1.12352E-01
